"Country","Region","City","Organization","Room","URL","Address","Lat","Lng","GmapsName","GmapsId","GmapsPlaceId"
"AR","","Buenos Aires","Enter the Exit","DEFCON Soviet","http://www.entertheexit.com.ar/","French 2981, Buenos Aires, Argentina",-34.5873686,-58.405165,"Enter The Exit - Escape Games","9badd23acf94344b9e3e6d321eb232ba4b670950","ChIJxVSj2pzKvJURg8U-KeIp0YA"
"AR","","Buenos Aires","Escape Demente","La Planta Nuclear","http://www.escapedemente.com/","Amenábar 1991, C1428CQC CABA, Argentina",-34.5642599,-58.4575499,"Escape Demente","91080532f31080ffeef464600fe946cbbb340000","ChIJ-RFyAdS1vJUR98RMKEus-0s"
"AR","","Buenos Aires","Escape Games","¿Que paso ayer?","http://www.escapegames.com.ar/","C1429DBP, Av. Comodoro Martín Rivadavia 1420, C1429DBP CABA, Argentina",-34.5405831,-58.4620982,"Escape Games Suc. Nuñez","34f9c0bb5978d7f37bd7b67b42ae594ff5b3123e","ChIJX3ng9h-0vJURtNhPHcSihJE"
"AR","","Buenos Aires","Escape Games","La Herencia del Tío Luis","http://www.escapegames.com.ar/","C1429DBP, Av. Comodoro Martín Rivadavia 1420, C1429DBP CABA, Argentina",-34.5405831,-58.4620982,"Escape Games Suc. Nuñez","34f9c0bb5978d7f37bd7b67b42ae594ff5b3123e","ChIJX3ng9h-0vJURtNhPHcSihJE"
"AR","","Buenos Aires","Escape Games","La biblioteca de Nebirus","http://www.escapegames.com.ar/","C1429DBP, Av. Comodoro Martín Rivadavia 1420, C1429DBP CABA, Argentina",-34.5405831,-58.4620982,"Escape Games Suc. Nuñez","34f9c0bb5978d7f37bd7b67b42ae594ff5b3123e","ChIJX3ng9h-0vJURtNhPHcSihJE"
"AR","","Buenos Aires","Eureka","Eureka","http://eurekaleg.com.ar/","Soler 4545, C1425BXA CABA, Cdad. Autónoma de Buenos Aires, Argentina",-34.58785419999999,-58.4237444,"Eureka Desafio de Escape","da971b51ed4728628520a571c69019c0471c8cd7","ChIJWR4LMIe1vJURKFeCV-oZcJg"
"AR","","Buenos Aires","Mision Imposible","Alcatraz la fuga","http://www.misionimposible.com.ar/","C1037ACD, Tte. Gral. Juan Domingo Perón 1538, C1037ACD CABA, Argentina",-34.606602,-58.3882679,"Mision Imposible - Escape y Estrategia","6aceca048adaee4c3b9efd90dfc280de148f037e","ChIJadCJfMTKvJURJsYWLWYsY4U"
"AR","","Buenos Aires","Mision Imposible","La tercera guerra mundial nuclear","http://www.misionimposible.com.ar/","C1037ACD, Tte. Gral. Juan Domingo Perón 1538, C1037ACD CABA, Argentina",-34.606602,-58.3882679,"Mision Imposible - Escape y Estrategia","6aceca048adaee4c3b9efd90dfc280de148f037e","ChIJadCJfMTKvJURJsYWLWYsY4U"
"AR","","Buenos Aires","Sali del Molde","Labortorio z","http://www.salidelmolde.com.ar/","Gallo 1570, 1425EFH CABA, Argentina",-34.5920872,-58.4093526,"Salí del Molde - Juegos de Escape - Buenos Aires","1ef8a82dd2793e3042b3943e8756484d3aa68db9","ChIJ_yd7W4TKvJUR04vLaFX0N90"
"AR","","Buenos Aires","Sali del Molde","Escape en el tiempo","http://www.salidelmolde.com.ar/","Gallo 1570, 1425EFH CABA, Argentina",-34.5920872,-58.4093526,"Salí del Molde - Juegos de Escape - Buenos Aires","1ef8a82dd2793e3042b3943e8756484d3aa68db9","ChIJ_yd7W4TKvJUR04vLaFX0N90"
"AR","","Buenos Aires","Sali del Molde","Atrapados en el refugio","http://www.salidelmolde.com.ar/","Gallo 1570, 1425EFH CABA, Argentina",-34.5920872,-58.4093526,"Salí del Molde - Juegos de Escape - Buenos Aires","1ef8a82dd2793e3042b3943e8756484d3aa68db9","ChIJ_yd7W4TKvJUR04vLaFX0N90"
"AT","","Innsbruck","PerplexxX","The Golden Roof","http://perplexxx.at/en/","Bettelwurfstraße 2, 6020 Innsbruck, Austria",47.275803,11.4391468,"PerplexxX E.U. - Innsbruck","c3c339432dee4882ac774e27ae6c3c57b9189f0d","ChIJTSxWl85unUcR3rRDcyLGWBM"
"AT","","Linz","Masters of Escape Linz","Wudang Shan - Mountain of the Kung Fu Masters","http://www.mastersofescape.at/","Austria, Kaarstraße 9, 4040 Linz, Austria",48.312122,14.280969,"Masters Of Escape OG","0aa28f24c89816209213b36abc4d6003a3ceefac","ChIJ64USZ9WZc0cRZLCruUol4hw"
"AT","","Salzburg","Scavenger Escape Salzburg","Egyptian Adventure","http://scavengerescape.com/salzburg/en/","Müllner Hauptstraße 13, 5020 Salzburg, Austria",47.8057504,13.0356367,"Scavenger Escape Salzburg","b2fd06015032f6b1d083ea9a3548edf973a4a301","ChIJVSMqL3CQdkcRCRZpeStrZRs"
